k,class_subset,embedding,clustering,precision,recall,f1
2,"[1, 4]",fasttext_pretrained,kmeans,0.7302,0.7365,0.6726
2,"[1, 4]",fasttext_pretrained,hac,0.676,0.692,0.6526
2,"[1, 4]",fasttext_pretrained,spectral,0.3409,0.447,0.3771
2,"[1, 4]",fasttext_pretrained,dbscan,0.5538,0.5272,0.5026
2,"[1, 4]",fasttext_pretrained,hdbscan,0.5458,0.5458,0.5458
2,"[2, 3]",fasttext_pretrained,kmeans,0.5296,0.5295,0.5046
2,"[2, 3]",fasttext_pretrained,hac,0.5208,0.5168,0.455
2,"[2, 3]",fasttext_pretrained,spectral,0.4393,0.4762,0.4139
2,"[2, 3]",fasttext_pretrained,hdbscan,0.4978,0.499,0.4555
2,"[2, 4]",fasttext_pretrained,kmeans,0.7604,0.7713,0.7594
2,"[2, 4]",fasttext_pretrained,hac,0.6715,0.6715,0.6715
2,"[2, 4]",fasttext_pretrained,spectral,0.303,0.4423,0.3515
2,"[2, 4]",fasttext_pretrained,hdbscan,0.564,0.5662,0.5534
2,"[3, 4]",fasttext_pretrained,kmeans,0.4061,0.428,0.4131
2,"[3, 4]",fasttext_pretrained,hac,0.442,0.4484,0.4439
2,"[3, 4]",fasttext_pretrained,spectral,0.4131,0.462,0.4198
2,"[3, 4]",fasttext_pretrained,hdbscan,0.581,0.5908,0.5815
3,"[0, 1, 2]",fasttext_pretrained,kmeans,0.6643,0.6711,0.6573
3,"[0, 1, 2]",fasttext_pretrained,hac,0.7352,0.6875,0.6946
3,"[0, 1, 2]",fasttext_pretrained,spectral,0.5572,0.5587,0.4683
3,"[0, 1, 3]",fasttext_pretrained,kmeans,0.6673,0.6621,0.6535
3,"[0, 1, 3]",fasttext_pretrained,hac,0.6335,0.5989,0.5806
3,"[0, 1, 3]",fasttext_pretrained,spectral,0.6881,0.6908,0.6866
3,"[0, 1, 4]",fasttext_pretrained,kmeans,0.7455,0.7634,0.7453
3,"[0, 1, 4]",fasttext_pretrained,hac,0.4415,0.4644,0.4452
3,"[0, 1, 4]",fasttext_pretrained,spectral,0.662,0.6296,0.5166
3,"[0, 2, 3]",fasttext_pretrained,kmeans,0.544,0.541,0.5256
3,"[0, 2, 3]",fasttext_pretrained,hac,0.5384,0.5255,0.5274
3,"[0, 2, 3]",fasttext_pretrained,spectral,0.5184,0.5346,0.4834
3,"[0, 2, 3]",fasttext_pretrained,dbscan,0.4634,0.3334,0.1902
3,"[0, 2, 4]",fasttext_pretrained,kmeans,0.3986,0.4822,0.4301
3,"[0, 2, 4]",fasttext_pretrained,hac,0.6975,0.6282,0.6288
3,"[0, 2, 4]",fasttext_pretrained,spectral,0.4239,0.5057,0.4527
3,"[0, 3, 4]",fasttext_pretrained,kmeans,0.4782,0.5126,0.4895
3,"[0, 3, 4]",fasttext_pretrained,hac,0.4809,0.527,0.4904
3,"[0, 3, 4]",fasttext_pretrained,spectral,0.5115,0.5396,0.5143
3,"[1, 2, 3]",fasttext_pretrained,kmeans,0.5646,0.5407,0.543
3,"[1, 2, 3]",fasttext_pretrained,hac,0.5151,0.5268,0.5018
3,"[1, 2, 3]",fasttext_pretrained,spectral,0.5299,0.5332,0.4636
3,"[1, 2, 4]",fasttext_pretrained,kmeans,0.6657,0.6782,0.6497
3,"[1, 2, 4]",fasttext_pretrained,hac,0.4054,0.4349,0.4041
3,"[1, 2, 4]",fasttext_pretrained,spectral,0.3219,0.3013,0.2062
3,"[1, 3, 4]",fasttext_pretrained,kmeans,0.5272,0.5246,0.4484
3,"[1, 3, 4]",fasttext_pretrained,hac,0.5164,0.5377,0.4777
3,"[1, 3, 4]",fasttext_pretrained,spectral,0.3681,0.3481,0.1964
3,"[2, 3, 4]",fasttext_pretrained,kmeans,0.3893,0.4041,0.3946
3,"[2, 3, 4]",fasttext_pretrained,hac,0.422,0.4545,0.4196
3,"[2, 3, 4]",fasttext_pretrained,spectral,0.407,0.3831,0.3562
4,"[0, 1, 2, 3]",fasttext_pretrained,kmeans,0.4736,0.4673,0.4422
4,"[0, 1, 2, 3]",fasttext_pretrained,hac,0.4448,0.428,0.3938
4,"[0, 1, 2, 3]",fasttext_pretrained,spectral,0.5378,0.5354,0.4895
4,"[0, 1, 2, 4]",fasttext_pretrained,kmeans,0.5793,0.543,0.5003
4,"[0, 1, 2, 4]",fasttext_pretrained,hac,0.5874,0.5151,0.4565
4,"[0, 1, 2, 4]",fasttext_pretrained,spectral,0.3668,0.4021,0.3162
4,"[0, 1, 3, 4]",fasttext_pretrained,kmeans,0.5637,0.5044,0.4642
4,"[0, 1, 3, 4]",fasttext_pretrained,hac,0.3885,0.3403,0.3345
4,"[0, 1, 3, 4]",fasttext_pretrained,spectral,0.5471,0.4846,0.3741
4,"[0, 2, 3, 4]",fasttext_pretrained,kmeans,0.4337,0.4406,0.4363
4,"[0, 2, 3, 4]",fasttext_pretrained,hac,0.4417,0.4574,0.4471
4,"[0, 2, 3, 4]",fasttext_pretrained,spectral,0.4285,0.4311,0.4144
4,"[1, 2, 3, 4]",fasttext_pretrained,kmeans,0.425,0.4373,0.4293
4,"[1, 2, 3, 4]",fasttext_pretrained,hac,0.4044,0.4375,0.4079
4,"[1, 2, 3, 4]",fasttext_pretrained,spectral,0.3345,0.3371,0.2913
5,"[0, 1, 2, 3, 4]",fasttext_pretrained,kmeans,0.4561,0.4574,0.456
5,"[0, 1, 2, 3, 4]",fasttext_pretrained,hac,0.3371,0.3073,0.3047
